,method,iteration,data
0,IMT,0,1
1,IMT,1,1
2,IMT,2,1
3,IMT,3,1
4,IMT,4,1
5,IMT,5,1
6,IMT,6,1
7,IMT,7,1
8,IMT,8,1
9,IMT,9,1
10,IMT,10,1
11,IMT,11,1
12,IMT,12,1
13,IMT,13,1
14,IMT,14,1
15,IMT,15,1
16,IMT,16,1
17,IMT,17,1
18,IMT,18,1
19,IMT,19,1
20,IMT,20,1
21,IMT,21,1
22,IMT,22,1
23,IMT,23,1
24,IMT,24,1
25,IMT,25,1
26,IMT,26,1
27,IMT,27,1
28,IMT,28,1
29,IMT,29,1
30,IMT,30,1
31,IMT,31,1
32,IMT,32,1
33,IMT,33,1
34,IMT,34,1
35,IMT,35,1
36,IMT,36,1
37,IMT,37,1
38,IMT,38,1
39,IMT,39,1
40,IMT,40,1
41,IMT,41,1
42,IMT,42,1
43,IMT,43,1
44,IMT,44,1
45,IMT,45,1
46,IMT,46,1
47,IMT,47,1
48,IMT,48,1
49,IMT,49,1
50,IMT,0,1
51,IMT,1,1
52,IMT,2,1
53,IMT,3,1
54,IMT,4,1
55,IMT,5,1
56,IMT,6,1
57,IMT,7,1
58,IMT,8,1
59,IMT,9,1
60,IMT,10,1
61,IMT,11,1
62,IMT,12,1
63,IMT,13,1
64,IMT,14,1
65,IMT,15,1
66,IMT,16,1
67,IMT,17,1
68,IMT,18,1
69,IMT,19,1
70,IMT,20,1
71,IMT,21,1
72,IMT,22,1
73,IMT,23,1
74,IMT,24,1
75,IMT,25,1
76,IMT,26,1
77,IMT,27,1
78,IMT,28,1
79,IMT,29,1
80,IMT,30,1
81,IMT,31,1
82,IMT,32,1
83,IMT,33,1
84,IMT,34,1
85,IMT,35,1
86,IMT,36,1
87,IMT,37,1
88,IMT,38,1
89,IMT,39,1
90,IMT,40,1
91,IMT,41,1
92,IMT,42,1
93,IMT,43,1
94,IMT,44,1
95,IMT,45,1
96,IMT,46,1
97,IMT,47,1
98,IMT,48,1
99,IMT,49,1
100,ITAL,0,1
101,ITAL,1,1
102,ITAL,2,1
103,ITAL,3,1
104,ITAL,4,1
105,ITAL,5,1
106,ITAL,6,1
107,ITAL,7,1
108,ITAL,8,1
109,ITAL,9,1
110,ITAL,10,1
111,ITAL,11,1
112,ITAL,12,1
113,ITAL,13,1
114,ITAL,14,1
115,ITAL,15,1
116,ITAL,16,1
117,ITAL,17,1
118,ITAL,18,1
119,ITAL,19,1
120,ITAL,20,1
121,ITAL,21,1
122,ITAL,22,1
123,ITAL,23,1
124,ITAL,24,1
125,ITAL,25,1
126,ITAL,26,1
127,ITAL,27,1
128,ITAL,28,1
129,ITAL,29,1
130,ITAL,30,1
131,ITAL,31,1
132,ITAL,32,1
133,ITAL,33,1
134,ITAL,34,1
135,ITAL,35,1
136,ITAL,36,1
137,ITAL,37,1
138,ITAL,38,1
139,ITAL,39,1
140,ITAL,40,1
141,ITAL,41,1
142,ITAL,42,1
143,ITAL,43,1
144,ITAL,44,1
145,ITAL,45,1
146,ITAL,46,1
147,ITAL,47,1
148,ITAL,48,1
149,ITAL,49,1
150,ITAL,0,1
151,ITAL,1,1
152,ITAL,2,1
153,ITAL,3,1
154,ITAL,4,1
155,ITAL,5,1
156,ITAL,6,1
157,ITAL,7,1
158,ITAL,8,1
159,ITAL,9,1
160,ITAL,10,1
161,ITAL,11,1
162,ITAL,12,1
163,ITAL,13,1
164,ITAL,14,1
165,ITAL,15,1
166,ITAL,16,1
167,ITAL,17,1
168,ITAL,18,1
169,ITAL,19,1
170,ITAL,20,1
171,ITAL,21,1
172,ITAL,22,1
173,ITAL,23,1
174,ITAL,24,1
175,ITAL,25,1
176,ITAL,26,1
177,ITAL,27,1
178,ITAL,28,1
179,ITAL,29,1
180,ITAL,30,1
181,ITAL,31,1
182,ITAL,32,1
183,ITAL,33,1
184,ITAL,34,1
185,ITAL,35,1
186,ITAL,36,1
187,ITAL,37,1
188,ITAL,38,1
189,ITAL,39,1
190,ITAL,40,1
191,ITAL,41,1
192,ITAL,42,1
193,ITAL,43,1
194,ITAL,44,1
195,ITAL,45,1
196,ITAL,46,1
197,ITAL,47,1
198,ITAL,48,1
199,ITAL,49,1
200,Batch,0,1
201,Batch,1,1
202,Batch,2,1
203,Batch,3,1
204,Batch,4,1
205,Batch,5,1
206,Batch,6,1
207,Batch,7,1
208,Batch,8,1
209,Batch,9,1
210,Batch,10,1
211,Batch,11,1
212,Batch,12,1
213,Batch,13,1
214,Batch,14,1
215,Batch,15,1
216,Batch,16,1
217,Batch,17,1
218,Batch,18,1
219,Batch,19,1
220,Batch,20,1
221,Batch,21,1
222,Batch,22,1
223,Batch,23,1
224,Batch,24,1
225,Batch,25,1
226,Batch,26,1
227,Batch,27,1
228,Batch,28,1
229,Batch,29,1
230,Batch,30,1
231,Batch,31,1
232,Batch,32,1
233,Batch,33,1
234,Batch,34,1
235,Batch,35,1
236,Batch,36,1
237,Batch,37,1
238,Batch,38,1
239,Batch,39,1
240,Batch,40,1
241,Batch,41,1
242,Batch,42,1
243,Batch,43,1
244,Batch,44,1
245,Batch,45,1
246,Batch,46,1
247,Batch,47,1
248,Batch,48,1
249,Batch,49,1
250,Batch,0,1
251,Batch,1,1
252,Batch,2,1
253,Batch,3,1
254,Batch,4,1
255,Batch,5,1
256,Batch,6,1
257,Batch,7,1
258,Batch,8,1
259,Batch,9,1
260,Batch,10,1
261,Batch,11,1
262,Batch,12,1
263,Batch,13,1
264,Batch,14,1
265,Batch,15,1
266,Batch,16,1
267,Batch,17,1
268,Batch,18,1
269,Batch,19,1
270,Batch,20,1
271,Batch,21,1
272,Batch,22,1
273,Batch,23,1
274,Batch,24,1
275,Batch,25,1
276,Batch,26,1
277,Batch,27,1
278,Batch,28,1
279,Batch,29,1
280,Batch,30,1
281,Batch,31,1
282,Batch,32,1
283,Batch,33,1
284,Batch,34,1
285,Batch,35,1
286,Batch,36,1
287,Batch,37,1
288,Batch,38,1
289,Batch,39,1
290,Batch,40,1
291,Batch,41,1
292,Batch,42,1
293,Batch,43,1
294,Batch,44,1
295,Batch,45,1
296,Batch,46,1
297,Batch,47,1
298,Batch,48,1
299,Batch,49,1
300,SGD,0,1
301,SGD,1,1
302,SGD,2,1
303,SGD,3,1
304,SGD,4,1
305,SGD,5,1
306,SGD,6,1
307,SGD,7,1
308,SGD,8,1
309,SGD,9,1
310,SGD,10,1
311,SGD,11,1
312,SGD,12,1
313,SGD,13,1
