,method,iteration,data
0,IMT,0,3.760752593747231
1,IMT,1,3.7437773580031384
2,IMT,2,3.7186173107048632
3,IMT,3,3.6941503654301755
4,IMT,4,3.6720501260964324
5,IMT,5,3.6527665367097732
6,IMT,6,3.6304707493518507
7,IMT,7,3.6106185407011235
8,IMT,8,3.5918313713556866
9,IMT,9,3.5802919319446875
10,IMT,10,3.5674026140257116
11,IMT,11,3.5512414363844917
12,IMT,12,3.536348813432091
13,IMT,13,3.5256180024602553
14,IMT,14,3.5130730900401557
15,IMT,15,3.5038862632170513
16,IMT,16,3.492784984518704
17,IMT,17,3.4856357449359034
18,IMT,18,3.4773762782573505
19,IMT,19,3.4686211388358967
20,IMT,20,3.4614860533501077
21,IMT,21,3.453657488320887
22,IMT,22,3.4475944395322333
23,IMT,23,3.4403806318101755
24,IMT,24,3.43228822800906
25,IMT,25,3.428814954392399
26,IMT,26,3.420675257937845
27,IMT,27,3.415401274272103
28,IMT,28,3.408355223534333
29,IMT,29,3.404784863534083
30,IMT,30,3.3983677359499556
31,IMT,31,3.394034093161228
32,IMT,32,3.388846643286026
33,IMT,33,3.3858940018365993
34,IMT,34,3.3825137476482134
35,IMT,35,3.3774516861144517
36,IMT,36,3.372534679484032
37,IMT,37,3.367761824552369
38,IMT,38,3.364175862248869
39,IMT,39,3.3616718430583865
40,IMT,40,3.3582373177528586
41,IMT,41,3.3561344852232518
42,IMT,42,3.3526053028844918
43,IMT,43,3.3503364982016985
44,IMT,44,3.3477378241432936
45,IMT,45,3.3448117526225167
46,IMT,46,3.3409174221588347
47,IMT,47,3.338376490113475
48,IMT,48,3.336446504197132
49,IMT,49,3.335088424668252
50,IMT,50,3.3337926744466264
51,IMT,0,4.657702963163666
52,IMT,1,4.626645997205796
53,IMT,2,4.600225612508825
54,IMT,3,4.563979017538733
55,IMT,4,4.537166252093265
56,IMT,5,4.513066726436149
57,IMT,6,4.492893153465327
58,IMT,7,4.4738589250090035
59,IMT,8,4.456396639072767
60,IMT,9,4.435723953641212
61,IMT,10,4.413322732027667
62,IMT,11,4.395516416682285
63,IMT,12,4.38063238723772
64,IMT,13,4.366793917033868
65,IMT,14,4.355683663258203
66,IMT,15,4.339657567703047
67,IMT,16,4.32717167745193
68,IMT,17,4.319251970942961
69,IMT,18,4.302251581321946
70,IMT,19,4.289734838498031
71,IMT,20,4.274020112305866
72,IMT,21,4.263757671150698
73,IMT,22,4.247711097202101
74,IMT,23,4.240055184758394
75,IMT,24,4.234442514924786
76,IMT,25,4.223224435302295
77,IMT,26,4.217307108092613
78,IMT,27,4.209524710950107
79,IMT,28,4.202450834211679
80,IMT,29,4.194410797383932
81,IMT,30,4.190550009335066
82,IMT,31,4.182436642693038
83,IMT,32,4.173118214367786
84,IMT,33,4.168484845542143
85,IMT,34,4.160900988137679
86,IMT,35,4.154643696404863
87,IMT,36,4.151181691474966
88,IMT,37,4.146814549177344
89,IMT,38,4.142002953544319
90,IMT,39,4.137742948506013
91,IMT,40,4.134083594302602
92,IMT,41,4.131016768762902
93,IMT,42,4.1285063280722385
94,IMT,43,4.124114066860355
95,IMT,44,4.120397756184821
96,IMT,45,4.117263920577891
97,IMT,46,4.113656906513542
98,IMT,47,4.110853486921733
99,IMT,48,4.10745595484118
100,IMT,49,4.10292745623387
101,IMT,50,4.0963404241095684
102,ITAL,0,3.760752593747231
103,ITAL,1,3.760752593747231
104,ITAL,2,3.760752593747231
105,ITAL,3,3.760752593747231
106,ITAL,4,3.760752593747231
107,ITAL,5,3.760752593747231
108,ITAL,6,3.760752593747231
109,ITAL,7,3.760752593747231
110,ITAL,8,3.760752593747231
111,ITAL,9,3.760752593747231
112,ITAL,10,3.760752593747231
113,ITAL,11,3.760752593747231
114,ITAL,12,3.760752593747231
115,ITAL,13,3.760752593747231
116,ITAL,14,3.760752593747231
117,ITAL,15,3.760752593747231
118,ITAL,16,3.760752593747231
119,ITAL,17,3.760752593747231
120,ITAL,18,3.760752593747231
121,ITAL,19,3.760752593747231
122,ITAL,20,3.760752593747231
123,ITAL,21,3.760752593747231
124,ITAL,22,3.760752593747231
125,ITAL,23,3.760752593747231
126,ITAL,24,3.760752593747231
127,ITAL,25,3.760752593747231
128,ITAL,26,3.760752593747231
