,method,iteration,data
0,IMT,0,15.499205215130171
1,IMT,1,14.600166221343777
2,IMT,2,13.585168946958238
3,IMT,3,12.57947698098625
4,IMT,4,11.663122339838816
5,IMT,5,10.864903129853603
6,IMT,6,10.044043288124815
7,IMT,7,9.313869513591385
8,IMT,8,8.640489868115784
9,IMT,9,8.193635980120995
10,IMT,10,7.669939324756633
11,IMT,11,7.17617602863205
12,IMT,12,6.708498676435044
13,IMT,13,6.3156299464253705
14,IMT,14,5.897614175987338
15,IMT,15,5.576886491078902
16,IMT,16,5.220232641801414
17,IMT,17,5.018150364034327
18,IMT,18,4.724663133322814
19,IMT,19,4.456518798906674
20,IMT,20,4.2047272228765955
21,IMT,21,3.973437768121146
22,IMT,22,3.7839340876100165
23,IMT,23,3.569964508784786
24,IMT,24,3.353945431594767
25,IMT,25,3.207795124471105
26,IMT,26,3.0119154329979936
27,IMT,27,2.8647555815002725
28,IMT,28,2.6865955445343928
29,IMT,29,2.5649113723331554
30,IMT,30,2.4096041032438227
31,IMT,31,2.295239983074321
32,IMT,32,2.1736214592317653
33,IMT,33,2.1257479512017183
34,IMT,34,2.097944597031842
35,IMT,35,1.983178639293547
36,IMT,36,1.881933414697556
37,IMT,37,1.7744866964486765
38,IMT,38,1.7010570737841515
39,IMT,39,1.654235337087334
40,IMT,40,1.5873680507643393
41,IMT,41,1.5415463059686203
42,IMT,42,1.4853159194352976
43,IMT,43,1.46266760711875
44,IMT,44,1.3982324326126219
45,IMT,45,1.3380291062957004
46,IMT,46,1.2844041726160091
47,IMT,47,1.2232786172212033
48,IMT,48,1.1840225927047408
49,IMT,49,1.1547105366087156
50,IMT,0,24.666294374388663
51,IMT,1,23.15396805432407
52,IMT,2,21.724999372520287
53,IMT,3,20.329702648993898
54,IMT,4,19.034779329898864
55,IMT,5,17.844691262687693
56,IMT,6,17.044773516349697
57,IMT,7,16.066794034630792
58,IMT,8,15.244586564847918
59,IMT,9,14.276816914308213
60,IMT,10,13.285389527789812
61,IMT,11,12.649791004410487
62,IMT,12,11.92976937088092
63,IMT,13,11.271872655595704
64,IMT,14,10.68119120946446
65,IMT,15,9.974043914295928
66,IMT,16,9.386729002995384
67,IMT,17,9.113915281874856
68,IMT,18,8.51774938058614
69,IMT,19,7.990887536446262
70,IMT,20,7.5655765495847795
71,IMT,21,7.137243648212131
72,IMT,22,6.6920847865385396
73,IMT,23,6.3641641457249
74,IMT,24,6.149354009134759
75,IMT,25,5.756399339570822
76,IMT,26,5.506227801719273
77,IMT,27,5.1750735910548995
78,IMT,28,4.897608196646494
79,IMT,29,4.612289973799873
80,IMT,30,4.437761737287896
81,IMT,31,4.204022224671941
82,IMT,32,3.916679698815113
83,IMT,33,3.7448641179026505
84,IMT,34,3.473643101250711
85,IMT,35,3.288000552364406
86,IMT,36,3.220138687658125
87,IMT,37,3.085699003215954
88,IMT,38,2.9125407250408775
89,IMT,39,2.8617769546552694
90,IMT,40,2.7160958571236122
91,IMT,41,2.5863487205929605
92,IMT,42,2.5115500696390907
93,IMT,43,2.3708687989052066
94,IMT,44,2.244483269666246
95,IMT,45,2.1288409365610463
96,IMT,46,2.0558284045269315
97,IMT,47,1.9593692165476602
98,IMT,48,1.9057184298915215
99,IMT,49,1.8898603164114431
100,ITAL,0,15.499205215130171
101,ITAL,1,14.370440882410936
102,ITAL,2,13.144874339844987
103,ITAL,3,12.099730178716332
104,ITAL,4,10.946768434787973
105,ITAL,5,10.013768295265628
106,ITAL,6,9.405458949493546
107,ITAL,7,8.757117771283374
108,ITAL,8,8.143866372840039
109,ITAL,9,7.430272248896737
110,ITAL,10,6.6912232356241566
111,ITAL,11,6.0121745082371545
112,ITAL,12,5.358901244479251
113,ITAL,13,4.716428879641667
114,ITAL,14,4.275992225371716
115,ITAL,15,3.7754932545421074
116,ITAL,16,3.225452769915201
117,ITAL,17,2.8261375489665412
118,ITAL,18,2.3757899658298136
119,ITAL,19,2.3349812015002307
120,ITAL,20,1.9928390409353964
121,ITAL,21,1.8278940940672037
122,ITAL,22,1.828562080574808
123,ITAL,23,1.4169340788709561
124,ITAL,24,1.1370191619979593
125,ITAL,25,0.836633973778832
126,ITAL,26,0.9766326131329441
127,ITAL,27,0.7198561641280322
128,ITAL,28,0.5537488577052332
129,ITAL,29,0.5700839077936934
130,ITAL,30,0.6819657909157436
131,ITAL,31,0.5360816393410374
132,ITAL,32,0.5682586462258574
133,ITAL,33,0.4601743325414444
134,ITAL,34,0.4553537673097099
135,ITAL,35,0.4639321082412559
136,ITAL,36,0.4650486530170277
137,ITAL,37,0.38830247168065607
138,ITAL,38,0.3694354746014287
139,ITAL,39,0.3625275338359175
140,ITAL,40,0.4632414318571077
141,ITAL,41,0.32109236786133616
142,ITAL,42,0.36759472732160514
143,ITAL,43,0.3079370480502111
144,ITAL,44,0.3214703465855951
145,ITAL,45,0.31344320183543617
146,ITAL,46,0.2842269602647526
147,ITAL,47,0.31843919310190455
148,ITAL,48,0.2747247925999549
149,ITAL,49,0.2769741866316875
150,ITAL,0,24.666294374388663
151,ITAL,1,23.14918084915054
152,ITAL,2,21.981690525285877
153,ITAL,3,20.490005873774624
154,ITAL,4,19.055586944917675
155,ITAL,5,18.3540390943708
156,ITAL,6,17.273053053178362
157,ITAL,7,16.123302049542534
158,ITAL,8,14.787873268817846
159,ITAL,9,13.670611717819478
160,ITAL,10,12.713938965053787
161,ITAL,11,11.843142254107294
162,ITAL,12,11.240326697922116
163,ITAL,13,10.393158690297296
164,ITAL,14,9.453360367316805
165,ITAL,15,9.00088536911269
166,ITAL,16,8.371484914601483
167,ITAL,17,7.353836083862955
168,ITAL,18,6.49050630984917
169,ITAL,19,5.827135731311966
170,ITAL,20,5.143914929919477
171,ITAL,21,4.556721677882219
172,ITAL,22,4.1095179497193035
173,ITAL,23,3.7127505336092064
174,ITAL,24,3.347576715287137
175,ITAL,25,2.6456477935667957
176,ITAL,26,1.9967670894098681
177,ITAL,27,1.4820841368865192
178,ITAL,28,1.3874877575566433
179,ITAL,29,1.3268795600550756
180,ITAL,30,0.9802742265841272
181,ITAL,31,0.9168515819924173
182,ITAL,32,0.9399661729546788
183,ITAL,33,0.9436542826732964
184,ITAL,34,0.7826230555366883
185,ITAL,35,0.704647411680107
186,ITAL,36,0.9486298068450701
187,ITAL,37,0.7822868384281126
188,ITAL,38,1.037682369620968
189,ITAL,39,0.8016050309051547
190,ITAL,40,0.7129338873322858
191,ITAL,41,0.6553852413200069
192,ITAL,42,0.7736850626557699
193,ITAL,43,0.603910066948853
194,ITAL,44,0.6697085958801913
195,ITAL,45,0.6390871135000735
196,ITAL,46,0.5832253080950555
197,ITAL,47,0.5497264275327761
