,method,iteration,data
0,IMT,0,15.499205215130171
1,IMT,1,14.600166221343777
2,IMT,2,13.585168946958238
3,IMT,3,12.57947698098625
4,IMT,4,11.663122339838816
5,IMT,5,10.864903129853603
6,IMT,6,10.044043288124815
7,IMT,7,9.313869513591385
8,IMT,8,8.640489868115784
9,IMT,9,8.193635980120995
10,IMT,10,7.669939324756633
11,IMT,11,7.17617602863205
12,IMT,12,6.708498676435044
13,IMT,13,6.3156299464253705
14,IMT,14,5.897614175987338
15,IMT,15,5.576886491078902
16,IMT,16,5.220232641801414
17,IMT,17,5.018150364034327
18,IMT,18,4.724663133322814
19,IMT,19,4.456518798906674
20,IMT,20,4.2047272228765955
21,IMT,21,3.973437768121146
22,IMT,22,3.7839340876100165
23,IMT,23,3.569964508784786
24,IMT,24,3.353945431594767
25,IMT,25,3.207795124471105
26,IMT,26,3.0119154329979936
27,IMT,27,2.8647555815002725
28,IMT,28,2.6865955445343928
29,IMT,29,2.5649113723331554
30,IMT,30,2.4096041032438227
31,IMT,31,2.295239983074321
32,IMT,32,2.1736214592317653
33,IMT,33,2.1257479512017183
34,IMT,34,2.097944597031842
35,IMT,35,1.983178639293547
36,IMT,36,1.881933414697556
37,IMT,37,1.7744866964486765
38,IMT,38,1.7010570737841515
39,IMT,39,1.654235337087334
40,IMT,40,1.5873680507643393
41,IMT,41,1.5415463059686203
42,IMT,42,1.4853159194352976
43,IMT,43,1.46266760711875
44,IMT,44,1.3982324326126219
45,IMT,45,1.3380291062957004
46,IMT,46,1.2844041726160091
47,IMT,47,1.2232786172212033
48,IMT,48,1.1840225927047408
49,IMT,49,1.1547105366087156
50,IMT,0,24.666294374388663
51,IMT,1,23.15396805432407
52,IMT,2,21.724999372520287
53,IMT,3,20.329702648993898
54,IMT,4,19.034779329898864
55,IMT,5,18.135574483114738
56,IMT,6,17.35147777777698
57,IMT,7,16.354016730685128
58,IMT,8,15.502873831866635
59,IMT,9,14.511095617721688
60,IMT,10,13.499700720127516
61,IMT,11,12.879352466144962
62,IMT,12,12.149323586754933
63,IMT,13,11.48571266002153
64,IMT,14,10.87186912483715
65,IMT,15,10.147385920581991
66,IMT,16,9.54642646309413
67,IMT,17,9.259453523625968
68,IMT,18,8.673691088651998
69,IMT,19,8.14102415192354
70,IMT,20,7.726149484176505
71,IMT,21,7.28394790494289
72,IMT,22,6.849328329915793
73,IMT,23,6.508219725341707
74,IMT,24,6.292719816565285
75,IMT,25,5.881501749281811
76,IMT,26,5.583717873567654
77,IMT,27,5.2472076959121825
78,IMT,28,4.965424321331996
79,IMT,29,4.668445617947597
80,IMT,30,4.496845322675288
81,IMT,31,4.264234502020357
82,IMT,32,3.970361961842749
83,IMT,33,3.7935285002617936
84,IMT,34,3.5206341575785562
85,IMT,35,3.3155275002146523
86,IMT,36,3.254291500131359
87,IMT,37,3.1138048521757806
88,IMT,38,2.944514837237089
89,IMT,39,2.89103715096502
90,IMT,40,2.7438600121014747
91,IMT,41,2.6116700059844
92,IMT,42,2.539650369557554
93,IMT,43,2.399095483047162
94,IMT,44,2.274557757921227
95,IMT,45,2.156463277566776
96,IMT,46,2.0865384879677555
97,IMT,47,1.9890590578218186
98,IMT,48,1.9331992905185953
99,IMT,49,1.9202252958168462
100,ITAL,0,15.499205215130171
101,ITAL,1,14.376106035692995
102,ITAL,2,13.159537845770258
103,ITAL,3,12.117318962015862
104,ITAL,4,10.98561906193423
105,ITAL,5,10.056095232297373
106,ITAL,6,9.451767685656122
107,ITAL,7,8.80358035478619
108,ITAL,8,8.195663322184508
109,ITAL,9,7.487661555818444
110,ITAL,10,6.761642537258729
111,ITAL,11,6.088742783229901
112,ITAL,12,5.427702788227347
113,ITAL,13,4.777731422728577
114,ITAL,14,4.3431290895154655
115,ITAL,15,3.8374542584446956
116,ITAL,16,3.2637906092488445
117,ITAL,17,2.8696919738834334
118,ITAL,18,2.440228704046833
119,ITAL,19,2.37608294709628
120,ITAL,20,2.043316311955335
121,ITAL,21,1.8492559610531139
122,ITAL,22,1.8207264752333576
123,ITAL,23,1.4047212067217718
124,ITAL,24,1.1227572510978165
125,ITAL,25,0.8292252237362234
126,ITAL,26,0.945594812381722
127,ITAL,27,0.7072015019577996
128,ITAL,28,0.5553665453167596
129,ITAL,29,0.5462644975470436
130,ITAL,30,0.6398921298930209
131,ITAL,31,0.512895189775982
132,ITAL,32,0.5284434155144303
133,ITAL,33,0.4325302595462105
134,ITAL,34,0.4462277138930749
135,ITAL,35,0.42637717207952824
136,ITAL,36,0.43834081023538835
137,ITAL,37,0.38028240682094144
138,ITAL,38,0.35603728669872614
139,ITAL,39,0.3675920213168982
140,ITAL,40,0.3040577550171112
141,ITAL,41,0.3463809902107711
142,ITAL,42,0.4108162442229788
143,ITAL,43,0.30993507300151685
144,ITAL,44,0.3132589351250756
145,ITAL,45,0.2779376768152656
146,ITAL,46,0.29987145635527457
147,ITAL,47,0.3382367117179041
148,ITAL,48,0.28063025962440746
149,ITAL,49,0.3139242718782139
150,ITAL,0,24.666294374388663
151,ITAL,1,23.149936649992977
152,ITAL,2,21.982352356372555
153,ITAL,3,20.503872019929467
154,ITAL,4,19.089493316983035
155,ITAL,5,18.386794174333616
156,ITAL,6,17.30592434646822
157,ITAL,7,16.155880578629937
158,ITAL,8,14.827263946260956
159,ITAL,9,13.727049899649806
160,ITAL,10,12.776035376793647
161,ITAL,11,11.922377571313628
162,ITAL,12,11.3307749376188
163,ITAL,13,10.490031116100504
164,ITAL,14,9.561254385177403
165,ITAL,15,9.105686222195791
166,ITAL,16,8.484453070113751
167,ITAL,17,7.466685910341546
168,ITAL,18,6.613055877278017
169,ITAL,19,5.966109636793639
170,ITAL,20,5.302072595295069
171,ITAL,21,4.71805478146165
172,ITAL,22,4.266905122805333
173,ITAL,23,3.891598654264255
174,ITAL,24,3.5276367038957854
175,ITAL,25,2.813937329446916
176,ITAL,26,2.133069467882459
177,ITAL,27,1.5761059033833573
178,ITAL,28,1.464078696112981
179,ITAL,29,1.3800436687854079
180,ITAL,30,1.0106902765107009
181,ITAL,31,0.9601044002945612
182,ITAL,32,1.0052600529128468
183,ITAL,33,0.9944029055803382
184,ITAL,34,0.8017832629724347
185,ITAL,35,0.7037711807971432
186,ITAL,36,0.9240944723126175
187,ITAL,37,0.7675640500893701
188,ITAL,38,1.0082973792344283
189,ITAL,39,0.7946659917877922
190,ITAL,40,0.7279584263315708
191,ITAL,41,0.6492705441577644
192,ITAL,42,0.7267036066089356
193,ITAL,43,0.6055888216582447
194,ITAL,44,0.7172071473231181
195,ITAL,45,0.6627540740244201
196,ITAL,46,0.5726740526022919
197,ITAL,47,0.5685884604227961
