,method,iteration,data
0,IMT,0,0.19140625
1,IMT,1,0.1828125
2,IMT,2,0.190625
3,IMT,3,0.15859375
4,IMT,4,0.1765625
5,IMT,5,0.2109375
6,IMT,6,0.2125
7,IMT,7,0.16484375
8,IMT,8,0.171875
9,IMT,9,0.20625
10,IMT,10,0.17265625
11,IMT,11,0.18828125
12,IMT,12,0.19921875
13,IMT,13,0.1671875
14,IMT,14,0.18515625
15,IMT,15,0.18359375
16,IMT,16,0.203125
17,IMT,17,0.1859375
18,IMT,18,0.2015625
19,IMT,19,0.19375
20,IMT,20,0.18515625
21,IMT,21,0.18984375
22,IMT,22,0.18046875
23,IMT,23,0.18203125
24,IMT,24,0.1984375
25,IMT,25,0.1765625
26,IMT,26,0.171875
27,IMT,27,0.18984375
28,IMT,28,0.1765625
29,IMT,29,0.18671875
30,IMT,30,0.184375
31,IMT,31,0.18828125
32,IMT,32,0.18828125
33,IMT,33,0.221875
34,IMT,34,0.18125
35,IMT,35,0.18359375
36,IMT,36,0.21015625
37,IMT,37,0.17890625
38,IMT,38,0.17109375
39,IMT,39,0.19140625
40,IMT,40,0.1640625
41,IMT,41,0.21953125
42,IMT,42,0.17890625
43,IMT,43,0.1953125
44,IMT,44,0.19453125
45,IMT,45,0.19375
46,IMT,46,0.1859375
47,IMT,47,0.2515625
48,IMT,48,0.17578125
49,IMT,49,0.22421875
50,IMT,50,0.17421875
51,ITAL,0,0.19140625
52,ITAL,1,0.56640625
53,ITAL,2,0.5515625
54,ITAL,3,0.61953125
55,ITAL,4,0.590625
56,ITAL,5,0.5421875
57,ITAL,6,0.6
58,ITAL,7,0.54921875
59,ITAL,8,0.57265625
60,ITAL,9,0.57890625
61,ITAL,10,0.53671875
62,ITAL,11,0.44375
63,ITAL,12,0.7875
64,ITAL,13,0.990625
65,ITAL,14,0.73203125
66,ITAL,15,0.72734375
67,ITAL,16,0.88125
68,ITAL,17,0.87109375
69,ITAL,18,1.175
70,ITAL,19,0.77734375
71,ITAL,20,0.9703125
72,ITAL,21,0.83671875
73,ITAL,22,1.7953125
74,ITAL,23,1.1875
75,ITAL,24,1.71875
76,ITAL,25,1.0578125
77,ITAL,26,1.365625
78,ITAL,27,0.9765625
79,ITAL,28,1.4125
80,ITAL,29,1.0671875
81,ITAL,30,1.12890625
82,ITAL,31,1.3390625
83,ITAL,32,2.22578125
84,ITAL,33,1.5984375
85,ITAL,34,1.78359375
86,ITAL,35,1.640625
87,ITAL,36,2.0046875
88,ITAL,37,1.78125
89,ITAL,38,1.915625
90,ITAL,39,3.46328125
91,ITAL,40,18.2515625
92,ITAL,41,17.44765625
93,ITAL,42,18.55
94,ITAL,43,15.88359375
95,ITAL,44,21.1125
96,ITAL,45,20.36796875
97,ITAL,46,21.940625
98,ITAL,47,27.09140625
99,ITAL,48,27.45546875
100,ITAL,49,23.36640625
101,ITAL,50,27.18125
102,Batch,0,0.64140625
103,Batch,1,0.64140625
104,Batch,2,0.725
105,Batch,3,0.5453125
106,Batch,4,0.7546875
107,Batch,5,0.59921875
108,Batch,6,0.659375
109,Batch,7,0.6609375
110,Batch,8,0.63984375
111,Batch,9,0.65546875
112,Batch,10,0.57265625
113,Batch,11,0.79375
114,Batch,12,0.675
115,Batch,13,0.5890625
116,Batch,14,0.6328125
117,Batch,15,0.63828125
118,Batch,16,0.70703125
119,Batch,17,0.60546875
120,Batch,18,0.625
121,Batch,19,0.68515625
122,Batch,20,0.628125
123,Batch,21,0.63984375
124,Batch,22,0.659375
125,Batch,23,0.59921875
126,Batch,24,0.640625
127,Batch,25,0.79375
128,Batch,26,0.70625
129,Batch,27,0.678125
130,Batch,28,0.6328125
131,Batch,29,0.71484375
132,Batch,30,0.6765625
133,Batch,31,0.65234375
134,Batch,32,0.53359375
135,Batch,33,0.5453125
136,Batch,34,0.63984375
137,Batch,35,0.6125
138,Batch,36,0.74765625
139,Batch,37,0.71015625
140,Batch,38,0.690625
141,Batch,39,0.68046875
142,Batch,40,0.71328125
143,Batch,41,0.5875
144,Batch,42,0.6078125
145,Batch,43,0.57109375
146,Batch,44,0.62578125
147,Batch,45,0.5359375
148,Batch,46,0.65625
149,Batch,47,0.62578125
150,Batch,48,0.64453125
151,Batch,49,0.70859375
152,Batch,50,0.63203125
153,SGD,0,0.64140625
154,SGD,1,0.6875
155,SGD,2,0.61953125
156,SGD,3,0.62265625
157,SGD,4,0.646875
158,SGD,5,0.61953125
159,SGD,6,0.71640625
160,SGD,7,0.63828125
161,SGD,8,0.6421875
162,SGD,9,0.596875
163,SGD,10,0.60234375
