,method,iteration,data
0,IMT,0,0.19140625
1,IMT,1,0.1828125
2,IMT,2,0.190625
3,IMT,3,0.15859375
4,IMT,4,0.1765625
5,IMT,5,0.2109375
6,IMT,6,0.2125
7,IMT,7,0.16484375
8,IMT,8,0.171875
9,IMT,9,0.20625
10,IMT,10,0.17265625
11,IMT,11,0.18828125
12,IMT,12,0.19765625
13,IMT,13,0.16328125
14,IMT,14,0.18515625
15,IMT,15,0.18046875
16,IMT,16,0.20390625
17,IMT,17,0.1859375
18,IMT,18,0.19921875
19,IMT,19,0.19140625
20,IMT,20,0.18359375
21,IMT,21,0.1890625
22,IMT,22,0.178125
23,IMT,23,0.18046875
24,IMT,24,0.1953125
25,IMT,25,0.17421875
26,IMT,26,0.16953125
27,IMT,27,0.18515625
28,IMT,28,0.171875
29,IMT,29,0.1828125
30,IMT,30,0.17890625
31,IMT,31,0.18359375
32,IMT,32,0.1875
33,IMT,33,0.21640625
34,IMT,34,0.18046875
35,IMT,35,0.17734375
36,IMT,36,0.20859375
37,IMT,37,0.1796875
38,IMT,38,0.1671875
39,IMT,39,0.1875
40,IMT,40,0.16328125
41,IMT,41,0.2171875
42,IMT,42,0.175
43,IMT,43,0.1921875
44,IMT,44,0.153125
45,IMT,45,0.14609375
46,IMT,46,0.1625
47,IMT,47,0.19140625
48,IMT,48,0.146875
49,IMT,49,0.17890625
50,IMT,50,0.15234375
51,ITAL,0,0.19140625
52,ITAL,1,0.51171875
53,ITAL,2,0.4765625
54,ITAL,3,0.559375
55,ITAL,4,0.47734375
56,ITAL,5,0.475
57,ITAL,6,0.47109375
58,ITAL,7,0.63984375
59,ITAL,8,0.67265625
60,ITAL,9,0.6890625
61,ITAL,10,0.6453125
62,ITAL,11,1.17265625
63,ITAL,12,1.35859375
64,ITAL,13,1.2328125
65,ITAL,14,1.25859375
66,ITAL,15,1.31015625
67,ITAL,16,1.48515625
68,ITAL,17,2.04453125
69,ITAL,18,4.66484375
70,ITAL,19,3.93515625
71,ITAL,20,5.33359375
72,ITAL,21,7.13828125
73,ITAL,22,6.315625
74,ITAL,23,7.79609375
75,ITAL,24,7.615625
76,ITAL,25,6.95078125
77,ITAL,26,5.97734375
78,ITAL,27,6.74453125
79,ITAL,28,7.29375
80,ITAL,29,7.0640625
81,ITAL,30,5.61953125
82,ITAL,31,10.9203125
83,ITAL,32,18.190625
84,ITAL,33,19.07109375
85,ITAL,34,26.17109375
86,ITAL,35,22.43203125
87,ITAL,36,22.31875
88,ITAL,37,23.73125
89,ITAL,38,23.80078125
90,ITAL,39,27.19296875
91,ITAL,40,25.6796875
92,ITAL,41,27.0078125
93,ITAL,42,25.13046875
94,ITAL,43,28.06796875
95,ITAL,44,31.2703125
96,ITAL,45,30.0
97,ITAL,46,30.58203125
98,ITAL,47,30.70078125
99,ITAL,48,30.91953125
100,ITAL,49,30.54765625
101,ITAL,50,31.075
102,Batch,0,0.19140625
103,Batch,1,0.171875
104,Batch,2,0.18046875
105,Batch,3,0.16015625
106,Batch,4,0.17578125
107,Batch,5,0.1796875
108,Batch,6,0.21640625
109,Batch,7,0.19609375
110,Batch,8,0.15546875
111,Batch,9,0.1765625
112,Batch,10,0.1609375
113,Batch,11,0.2015625
114,Batch,12,0.16953125
115,Batch,13,0.1859375
116,Batch,14,0.20390625
117,Batch,15,0.184375
118,Batch,16,0.171875
119,Batch,17,0.19375
120,Batch,18,0.2125
121,Batch,19,0.1515625
122,Batch,20,0.1875
123,Batch,21,0.17890625
124,Batch,22,0.16640625
125,Batch,23,0.16171875
126,Batch,24,0.18046875
127,Batch,25,0.21796875
128,Batch,26,0.1890625
129,Batch,27,0.19296875
130,Batch,28,0.2015625
131,Batch,29,0.171875
132,Batch,30,0.203125
133,Batch,31,0.16328125
134,Batch,32,0.146875
135,Batch,33,0.1890625
136,Batch,34,0.18984375
137,Batch,35,0.20390625
138,Batch,36,0.178125
139,Batch,37,0.2015625
140,Batch,38,0.1609375
141,Batch,39,0.18515625
142,Batch,40,0.1625
143,Batch,41,0.18359375
144,Batch,42,0.178125
145,Batch,43,0.171875
146,Batch,44,0.18984375
147,Batch,45,0.2015625
148,Batch,46,0.1671875
149,Batch,47,0.184375
150,Batch,48,0.1921875
151,Batch,49,0.1890625
152,Batch,50,0.1671875
153,SGD,0,0.19140625
154,SGD,1,0.1796875
155,SGD,2,0.18515625
156,SGD,3,0.16171875
157,SGD,4,0.17265625
158,SGD,5,0.16640625
159,SGD,6,0.19453125
160,SGD,7,0.17734375
161,SGD,8,0.175
162,SGD,9,0.1828125
163,SGD,10,0.1703125
