,method,iteration,data
0,IMT,0,1.59140625
1,IMT,1,1.40859375
2,IMT,2,1.4765625
3,IMT,3,1.56953125
4,IMT,4,1.29765625
5,IMT,5,1.3765625
6,IMT,6,1.5375
7,IMT,7,1.496875
8,IMT,8,1.37890625
9,IMT,9,1.253125
10,IMT,10,1.47578125
11,ITAL,0,1.59140625
12,ITAL,1,1.3765625
13,ITAL,2,1.38671875
14,ITAL,3,1.36171875
15,ITAL,4,1.36953125
16,ITAL,5,1.5265625
17,ITAL,6,1.71640625
18,ITAL,7,1.36875
19,ITAL,8,1.7296875
20,ITAL,9,0.3546875
21,ITAL,10,1.6296875
22,Batch,0,0.534375
23,Batch,1,0.5078125
24,Batch,2,0.51171875
25,Batch,3,0.478125
26,Batch,4,0.57265625
27,Batch,5,0.55625
28,Batch,6,0.5171875
29,Batch,7,0.515625
30,Batch,8,0.56484375
31,Batch,9,0.46875
32,Batch,10,0.5296875
33,SGD,0,0.534375
34,SGD,1,0.55625
35,SGD,2,0.4703125
36,SGD,3,0.47734375
37,SGD,4,0.5109375
38,SGD,5,0.57421875
39,SGD,6,0.559375
40,SGD,7,0.446875
41,SGD,8,0.57265625
42,SGD,9,0.52265625
43,SGD,10,0.56875
