,method,iteration,data
0,IMT,0,-26.6239158723589
1,IMT,1,-23.127234407936882
2,IMT,2,-25.11606331917679
3,IMT,3,-26.30237311985792
4,IMT,4,-24.85393124050676
5,IMT,5,-24.135937686342395
6,IMT,6,-22.52133823968209
7,IMT,7,-24.864812888864783
8,IMT,8,-26.14501996243009
9,IMT,9,-23.568837610873253
10,IMT,10,-22.85937193389737
11,IMT,11,-25.09112445631532
12,IMT,12,-23.786278821049237
13,IMT,13,-24.800731456642332
14,IMT,14,-24.596038591839136
15,IMT,15,-23.763599372014934
16,IMT,16,-22.98667289916297
17,IMT,17,-22.831259456746686
18,IMT,18,-26.454987897112364
19,IMT,19,-22.39163789367793
20,IMT,20,-22.48258560225232
21,IMT,21,-25.137521781783693
22,IMT,22,-24.488650393323752
23,IMT,23,-24.486776197811775
24,IMT,24,-23.92107336659019
25,IMT,25,-24.51066600713795
26,ITAL,0,-26.6239158723589
27,ITAL,1,-29.081864210109607
28,ITAL,2,-32.264317050941976
29,ITAL,3,-32.750411027259126
30,ITAL,4,-31.32234111459084
31,ITAL,5,-31.068568423848717
32,ITAL,6,-33.57486514312244
33,ITAL,7,-28.96916944946006
34,ITAL,8,-24.832234217782762
35,ITAL,9,-26.11313184650437
36,ITAL,10,-30.679756422049955
37,ITAL,11,-39.325827277736884
38,ITAL,12,-32.992737602851705
39,ITAL,13,-34.98048230945061
40,ITAL,14,-34.3508318056012
41,ITAL,15,-32.59519001793378
42,ITAL,16,-29.78062134760997
43,ITAL,17,-24.93900644611217
44,ITAL,18,-26.536578599856814
45,ITAL,19,-21.675896296354786
46,ITAL,20,-18.04289663996165
47,ITAL,21,-20.65494728027317
48,ITAL,22,-7.727807828024242
49,ITAL,23,-5.587318017441785
50,ITAL,24,0.606322572148064
51,ITAL,25,21.99658426612227
52,Batch,0,-19.878310528528
53,Batch,1,-20.19578576723563
54,Batch,2,-5.790162745872625
55,Batch,3,-3.3454780550681504
56,Batch,4,-5.884450304166963
57,Batch,5,-6.401308506050323
58,Batch,6,-6.142750546057063
59,Batch,7,-4.833826067761121
60,Batch,8,-7.167817541873997
61,Batch,9,-5.602598439207965
62,Batch,10,-6.307070007921901
63,Batch,11,-6.469759589053943
64,Batch,12,-6.709859494255238
65,Batch,13,-8.530077887583202
66,Batch,14,-5.84568824452145
67,Batch,15,-5.217390473146388
68,Batch,16,-6.267639326931713
69,Batch,17,-3.4494028721202197
70,Batch,18,-5.541836050719088
71,Batch,19,-5.622794565676388
72,Batch,20,-3.771414196279051
73,Batch,21,-4.524569306577469
74,Batch,22,-5.058421005733072
75,Batch,23,-5.250335276376838
76,Batch,24,-3.3431571800993707
77,Batch,25,-6.355907932470345
78,SGD,0,-19.878310528528
79,SGD,1,-20.250672442226183
80,SGD,2,-5.831972783047127
81,SGD,3,-3.334131561168012
82,SGD,4,-4.657531320357763
83,SGD,5,-6.92622805950238
84,SGD,6,-6.74854260733714
85,SGD,7,-3.3189708948767502
86,SGD,8,-6.465385626566508
87,SGD,9,-7.106009233352952
88,SGD,10,-5.954737042497368
89,SGD,11,-6.72044638356609
90,SGD,12,-6.706753931220791
91,SGD,13,-7.982511618297248
92,SGD,14,-3.315384184619359
93,SGD,15,-4.6847456832883685
94,SGD,16,-5.6700091266916015
95,SGD,17,-6.069165070597835
96,SGD,18,-4.240762633963877
97,SGD,19,-7.762739548826955
98,SGD,20,-6.871196212042369
99,SGD,21,-3.468351034742544
100,SGD,22,-4.184741453880801
101,SGD,23,-4.192998888123842
102,SGD,24,-6.414632096602223
103,SGD,25,-5.431394826890028
