,method,iteration,data
0,IMT,0,9.412498791330991
1,IMT,1,9.412269976707647
2,IMT,2,9.412033450737539
3,IMT,3,9.411797032979111
4,IMT,4,9.41167950334785
5,IMT,5,9.411474829902957
6,IMT,6,9.411238548796831
7,IMT,7,9.41099151211778
8,IMT,8,9.410755373505232
9,IMT,9,9.41058455951549
10,IMT,10,9.41033762411594
11,IMT,11,9.410073298170778
12,IMT,12,9.40987514878225
13,IMT,13,9.409628393963493
14,IMT,14,9.409359744767377
15,IMT,15,9.409161810792186
16,IMT,16,9.408898952554233
17,IMT,17,9.408688936765206
18,IMT,18,9.408420389654667
19,IMT,19,9.408156219949348
20,IMT,20,9.40799741707667
21,IMT,21,9.407750893325408
22,IMT,22,9.407580299203424
23,IMT,23,9.407358904878311
24,IMT,24,9.40709491515007
25,IMT,25,9.406846472372983
26,IMT,26,9.406603563275565
27,IMT,27,9.406432719478033
28,IMT,28,9.406268823727386
29,IMT,29,9.406102693176734
30,IMT,30,9.40588145659142
31,IMT,31,9.405710670197596
32,IMT,32,9.40551282166589
33,IMT,33,9.405339242599105
34,IMT,34,9.405138434917452
35,IMT,35,9.404902551769359
36,IMT,36,9.404732086105833
37,IMT,37,9.404468141239098
38,IMT,38,9.404249881079732
39,IMT,39,9.404086151831027
40,IMT,40,9.403865120864932
41,IMT,41,9.403703528732711
42,IMT,42,9.403440212139845
43,IMT,43,9.403177053936318
44,IMT,44,9.402928637499215
45,IMT,45,9.402704840237774
46,IMT,46,9.402441450688173
47,IMT,47,9.402280361806922
48,IMT,48,9.402070541516318
49,IMT,49,9.401852320088473
50,IMT,50,9.401688855414996
51,IMT,51,9.401522804194295
52,IMT,52,9.40134936568332
53,IMT,53,9.40112839894379
54,IMT,54,9.400892722775449
55,IMT,55,9.400736487612747
56,IMT,56,9.400473675400374
57,IMT,57,9.400306426718021
58,IMT,58,9.400070822519567
59,IMT,59,9.399924434271261
60,IMT,60,9.39968853217867
61,IMT,61,9.399442144535561
62,IMT,62,9.399179128384176
63,IMT,63,9.399022897606052
64,IMT,64,9.398818569136596
65,IMT,65,9.39861435144977
66,IMT,66,9.398393418811432
67,IMT,67,9.398130957570578
68,IMT,68,9.397980916934953
69,IMT,69,9.397745511736092
70,IMT,70,9.397482865956553
71,IMT,71,9.39730958865064
72,IMT,72,9.39706123892242
73,IMT,73,9.396890996406583
74,IMT,74,9.396628867791483
75,IMT,75,9.39636604434638
76,IMT,76,9.396156374614877
77,IMT,77,9.395935530022415
78,IMT,78,9.395672850803784
79,IMT,79,9.395498055278066
80,IMT,80,9.395280047215687
81,IMT,81,9.395076056377292
82,IMT,82,9.394875574871524
83,IMT,83,9.3946396803391
84,IMT,84,9.394377373407051
85,IMT,85,9.394154042231449
86,IMT,86,9.393950122419549
87,IMT,87,9.393702040645227
88,IMT,88,9.393466222589456
89,IMT,89,9.393204457942911
90,IMT,90,9.392969126033416
91,IMT,91,9.392759633834155
92,IMT,92,9.39249783273497
93,IMT,93,9.392297395909237
94,IMT,94,9.392062157976353
95,IMT,95,9.391799557842585
96,IMT,96,9.391537078511814
97,IMT,97,9.391375874467087
98,IMT,98,9.391166492803313
99,IMT,99,9.39096260235405
100,IMT,100,9.39070026322393
101,IMT,101,9.390479607742579
102,IMT,102,9.390284824116948
103,IMT,103,9.390110105137893
104,IMT,104,9.389939123798678
105,IMT,105,9.389741268915621
106,IMT,106,9.389479023225205
107,IMT,107,9.389210937342325
108,IMT,108,9.38896321385043
109,IMT,109,9.388759275582812
110,IMT,110,9.388516395448377
111,IMT,111,9.388254962374292
112,IMT,112,9.388019877055765
113,IMT,113,9.387751942720072
114,IMT,114,9.387489835385866
115,IMT,115,9.387247064635993
