,method,iteration,data
0,IMT,0,13.558405653262565
1,IMT,1,13.556651287261884
2,IMT,2,13.555223589752071
3,IMT,3,13.553766239071843
4,IMT,4,13.552317630033183
5,IMT,5,13.550987414775193
6,IMT,6,13.54907330773588
7,IMT,7,13.547161723069824
8,IMT,8,13.545412565903968
9,IMT,9,13.544084616666598
10,IMT,10,13.542216319214704
11,IMT,11,13.540310583618115
12,IMT,12,13.538985074680385
13,IMT,13,13.53724127672003
14,IMT,14,13.5353389303435
15,IMT,15,13.533599822998665
16,IMT,16,13.532150088086446
17,IMT,17,13.530564980460019
18,IMT,18,13.528667717943287
19,IMT,19,13.526773040018213
20,IMT,20,13.52532613277578
21,IMT,21,13.523747405465777
22,IMT,22,13.521899687889524
23,IMT,23,13.520447745803795
24,IMT,24,13.51917102381839
25,IMT,25,13.517846368285833
26,IMT,26,13.516397327815545
27,IMT,27,13.514822988026118
28,IMT,28,13.513251960454323
29,IMT,29,13.511979412257944
30,IMT,30,13.510137969449419
31,IMT,31,13.508825063829223
32,IMT,32,13.507491306791955
33,IMT,33,13.505761536442716
34,IMT,34,13.504321437667897
35,IMT,35,13.502483443218775
36,IMT,36,13.500648390679412
37,IMT,37,13.499203082741241
38,IMT,38,13.497891657273028
39,IMT,39,13.496329402040145
40,IMT,40,13.494770632383165
41,IMT,41,13.4930489073497
42,IMT,42,13.491331047024493
43,IMT,43,13.490021350459294
44,IMT,44,13.488195499821755
45,IMT,45,13.486750546249064
46,IMT,46,13.485481565471343
47,IMT,47,13.48403959580778
48,IMT,48,13.482608240635534
49,IMT,49,13.481180233258753
50,IMT,50,13.479356446314693
51,ITAL,0,13.558405653262565
52,ITAL,1,13.535818958995732
53,ITAL,2,13.509487794207601
54,ITAL,3,13.494024132562666
55,ITAL,4,13.475301844030012
56,ITAL,5,13.45825614465238
57,ITAL,6,13.437340559875626
58,ITAL,7,13.41762201158011
59,ITAL,8,13.398431063811483
60,ITAL,9,13.381914411331982
61,ITAL,10,13.363098936811209
62,ITAL,11,13.340131573566127
63,ITAL,12,13.31926563049855
64,ITAL,13,13.302942308045514
65,ITAL,14,13.285995813365204
66,ITAL,15,13.267565476994262
67,ITAL,16,13.253003347416143
68,ITAL,17,13.238536836787059
69,ITAL,18,13.223020747495708
70,ITAL,19,13.206054483505676
71,ITAL,20,13.185015090028223
72,ITAL,21,13.170096430415574
73,ITAL,22,13.155359087827927
74,ITAL,23,13.14322338049134
75,ITAL,24,13.124610810894755
76,ITAL,25,13.110164239531459
77,ITAL,26,13.092022418382827
78,ITAL,27,13.068073255827462
79,ITAL,28,13.052114176830136
80,ITAL,29,13.03439893781778
81,ITAL,30,13.019968924083578
82,ITAL,31,13.008530749351163
83,ITAL,32,12.992834968920437
84,ITAL,33,12.972762423438107
85,ITAL,34,12.957967615094827
86,ITAL,35,12.945166530120291
87,ITAL,36,12.932480043766093
88,ITAL,37,12.918251268290513
89,ITAL,38,12.902880623366913
90,ITAL,39,12.887566550378635
91,ITAL,40,12.872509418136142
92,ITAL,41,12.854995284553112
93,ITAL,42,12.831405061997769
94,ITAL,43,12.814327154232318
95,ITAL,44,12.801465574336241
96,ITAL,45,12.786994090188994
97,ITAL,46,12.770195060838464
98,ITAL,47,12.755865190616722
99,ITAL,48,12.74552719076195
100,ITAL,49,12.73377038427813
101,ITAL,50,12.720414739967634
102,Batch,0,13.558405653262565
103,Batch,1,13.557713743728009
104,Batch,2,13.55703855533627
105,Batch,3,13.556277889504686
106,Batch,4,13.555692858487093
107,Batch,5,13.555036375348067
108,Batch,6,13.55445636600043
109,Batch,7,13.553882668837627
110,Batch,8,13.553145475382088
111,Batch,9,13.552441500420159
112,Batch,10,13.551724613291219
113,Batch,11,13.551308417342277
114,Batch,12,13.550723869438393
115,Batch,13,13.550004942964144
116,Batch,14,13.549269821849824
117,Batch,15,13.548553300600144
118,Batch,16,13.547814991877496
119,Batch,17,13.547049776523085
120,Batch,18,13.546125175915328
121,Batch,19,13.545495818847291
122,Batch,20,13.544942019992844
123,Batch,21,13.544160399922756
124,Batch,22,13.543478183110054
125,Batch,23,13.542694468110861
126,Batch,24,13.542221835332905
127,Batch,25,13.541334084643614
128,Batch,26,13.540746992843486
129,Batch,27,13.540150168077446
130,Batch,28,13.539554242737294
131,Batch,29,13.538963010390528
132,Batch,30,13.538162618426332
133,Batch,31,13.537325329043785
134,Batch,32,13.536717818469208
135,Batch,33,13.536320778821354
136,Batch,34,13.535650655721073
137,Batch,35,13.534986570648998
138,Batch,36,13.53410823821775
139,Batch,37,13.533375835706076
140,Batch,38,13.532689239633878
141,Batch,39,13.532004973621278
142,Batch,40,13.531425340083286
143,Batch,41,13.530907419388603
144,Batch,42,13.530365907130248
145,Batch,43,13.529826607606402
146,Batch,44,13.529150003989797
147,Batch,45,13.528518827581507
148,Batch,46,13.52799930400719
149,Batch,47,13.527368295608472
150,Batch,48,13.526438491772353
151,Batch,49,13.525802595218599
152,Batch,50,13.525049534944873
153,SGD,0,13.558405653262565
154,SGD,1,13.557335750225267
155,SGD,2,13.556605146044214
156,SGD,3,13.556599260038388
157,SGD,4,13.555603359158964
158,SGD,5,13.554547651894413
159,SGD,6,13.55454175854941
160,SGD,7,13.554306367107197
161,SGD,8,13.554179643119001
162,SGD,9,13.553268326742149
163,SGD,10,13.553315341029172
164,SGD,11,13.552202386775335
165,SGD,12,13.55134008096797
166,SGD,13,13.550723886680094
167,SGD,14,13.549612729246478
168,SGD,15,13.549569184449432
169,SGD,16,13.548483350416209
170,SGD,17,13.548249248258653
171,SGD,18,13.547640456137914
172,SGD,19,13.547634555524182
173,SGD,20,13.546910777427188
174,SGD,21,13.545605463717413
175,SGD,22,13.544521686519353
176,SGD,23,13.544521661279848
177,SGD,24,13.543218605224116
178,SGD,25,13.543235647217763
179,SGD,26,13.542352653553369
180,SGD,27,13.542352628310274
181,SGD,28,13.54180651222469
182,SGD,29,13.541075481530374
183,SGD,30,13.540948731406491
184,SGD,31,13.540242689667796
185,SGD,32,13.540241430392573
186,SGD,33,13.5400679420226
187,SGD,34,13.539976529262331
188,SGD,35,13.538631864246973
189,SGD,36,13.538630564230049
190,SGD,37,13.537702993599163
191,SGD,38,13.536982275133617
192,SGD,39,13.536980471889995
193,SGD,40,13.535776071577395
194,SGD,41,13.535483096864825
195,SGD,42,13.535356998256976
196,SGD,43,13.534717085898764
197,SGD,44,13.533775057910898
198,SGD,45,13.53288393974651
199,SGD,46,13.532024197933916
200,SGD,47,13.531862922117924
201,SGD,48,13.531193542244566
202,SGD,49,13.52985984911907
203,SGD,50,13.52977127576311
