,method,iteration,data
0,IMT,0,1.59140625
1,IMT,1,1.40859375
2,IMT,2,1.48515625
3,IMT,3,1.57421875
4,IMT,4,1.30078125
5,IMT,5,1.3984375
6,IMT,6,1.54453125
7,IMT,7,1.496875
8,IMT,8,1.39140625
9,IMT,9,1.24296875
10,IMT,10,1.49296875
11,ITAL,0,1.59140625
12,ITAL,1,1.38671875
13,ITAL,2,1.38671875
14,ITAL,3,1.36171875
15,ITAL,4,1.36953125
16,ITAL,5,1.3890625
17,ITAL,6,1.71640625
18,ITAL,7,1.2484375
19,ITAL,8,1.353125
20,ITAL,9,0.7859375
21,ITAL,10,1.35234375
22,Batch,0,1.59140625
23,Batch,1,1.38671875
24,Batch,2,1.38671875
25,Batch,3,1.36171875
26,Batch,4,1.36953125
27,Batch,5,1.3890625
28,Batch,6,1.475
29,Batch,7,1.3359375
30,Batch,8,1.475
31,Batch,9,1.35
32,Batch,10,1.4515625
33,SGD,0,1.59140625
34,SGD,1,1.365625
35,SGD,2,1.24921875
36,SGD,3,1.35625
37,SGD,4,1.50390625
38,SGD,5,1.4140625
39,SGD,6,1.4421875
40,SGD,7,1.2
41,SGD,8,1.61328125
42,SGD,9,1.42578125
43,SGD,10,1.4953125
