,method,iteration,data
0,IMT,0,17.412768630023645
1,IMT,1,18.989708725319854
2,IMT,2,19.535870579891185
3,IMT,3,18.420533993595004
4,IMT,4,18.36582647906393
5,IMT,5,16.907835770304423
6,IMT,6,20.05619394363117
7,IMT,7,17.868514921039715
8,IMT,8,18.7729251449988
9,IMT,9,20.031556695145078
10,IMT,10,18.257327877592484
11,IMT,11,18.624392641053284
12,IMT,12,17.590130191245535
13,IMT,13,17.817448743165688
14,IMT,14,19.74574402555779
15,IMT,15,18.4886256282879
16,IMT,16,19.22650197275906
17,IMT,17,18.425050371871613
18,IMT,18,18.40959136096852
19,IMT,19,18.749454854175557
20,IMT,20,18.577777008782103
21,IMT,21,17.53578825474565
22,IMT,22,17.706118853428364
23,IMT,23,18.696385686796923
24,IMT,24,20.230912268976553
25,IMT,25,19.03599172887881
26,IMT,26,21.446539077261985
27,IMT,27,20.30044214972724
28,IMT,28,19.006791012070728
29,IMT,29,18.415705767043598
30,IMT,30,18.939982732813295
31,IMT,31,19.652255515805056
32,IMT,32,19.74386432146119
33,IMT,33,19.75305990605699
34,IMT,34,18.784395123434006
35,IMT,35,18.71464870720587
36,IMT,36,19.789767359107387
37,IMT,37,18.910799954832054
38,IMT,38,20.793070588288685
39,IMT,39,17.872255574046143
40,IMT,40,18.715678387083212
41,IMT,41,17.713772029211704
42,IMT,42,20.447560280421293
43,IMT,43,19.692813104045424
44,IMT,44,19.973526043265746
45,IMT,45,19.874244384990764
46,IMT,46,18.55033785048503
47,IMT,47,19.997636084472195
48,IMT,48,21.490686052060703
49,IMT,49,17.785962668509494
50,IMT,50,18.830118092291865
51,IMT,51,19.045825792190215
52,IMT,52,17.177644501746386
53,IMT,53,18.487236175657976
54,IMT,54,17.280510757352864
55,IMT,55,18.75531526889842
56,IMT,56,17.21409629416997
57,IMT,57,17.921219991487384
58,IMT,58,18.363152161882407
59,IMT,59,19.896133198892507
60,IMT,60,18.72241393958549
61,IMT,61,20.314263505864204
62,IMT,62,17.285982179358122
63,IMT,63,17.60867546439075
64,IMT,64,19.905389863958163
65,IMT,65,18.643635308574236
66,IMT,66,18.63353361992464
67,IMT,67,17.995291203446047
68,IMT,68,20.90129227214526
69,IMT,69,19.50263647342469
70,IMT,70,21.018715150995465
71,IMT,71,17.802116019623178
72,IMT,72,20.252253616422152
73,IMT,73,18.61582612681185
74,IMT,74,19.442000583818945
75,IMT,75,19.997827526739435
76,IMT,76,18.7280918796868
77,IMT,77,18.480103387075353
78,IMT,78,19.426516132653294
79,IMT,79,19.879475523842263
80,IMT,80,19.196785306430264
81,IMT,81,20.367703076052525
82,IMT,82,18.94752960824186
83,IMT,83,20.94642663952053
84,IMT,84,20.27126056336453
85,IMT,85,22.133114586281895
86,IMT,86,18.822876475963238
87,IMT,87,18.12642006275075
88,IMT,88,16.77354811522487
89,IMT,89,19.42015283823928
90,IMT,90,19.30884366662972
91,IMT,91,21.09890821259804
92,IMT,92,18.98637550550088
93,IMT,93,18.79434493366226
94,IMT,94,20.23844448021889
95,IMT,95,19.565147576410244
96,IMT,96,18.806179388584187
97,IMT,97,19.874859536977628
98,IMT,98,20.696276706456242
