,method,iteration,data
0,IMT,0,17.412768630023645
1,IMT,1,18.989708725319854
2,IMT,2,19.535870579891185
3,IMT,3,18.420533993595004
4,IMT,4,18.36582647906393
5,IMT,5,16.907835770304423
6,IMT,6,20.05619394363117
7,IMT,7,17.868514921039715
8,IMT,8,18.7729251449988
9,IMT,9,20.031556695145078
10,IMT,10,18.257327877592484
11,IMT,11,18.624392641053284
12,IMT,12,17.590130191245535
13,IMT,13,17.817448743165688
14,IMT,14,19.74574402555779
15,IMT,15,18.4886256282879
16,IMT,16,19.22650197275906
17,IMT,17,18.425050371871613
18,IMT,18,18.40959136096852
19,IMT,19,18.749454854175557
20,IMT,20,18.577777008782103
21,IMT,21,16.90608415327798
22,IMT,22,17.10072824549568
23,IMT,23,18.00294177503526
24,IMT,24,19.72247750621026
25,IMT,25,18.492338452034836
26,IMT,26,21.11595295288541
27,IMT,27,20.30044214972724
28,IMT,28,19.006791012070728
29,IMT,29,18.415705767043598
30,IMT,30,18.939982732813295
31,IMT,31,19.13036059464867
32,IMT,32,19.74386432146119
33,IMT,33,19.75305990605699
34,IMT,34,18.784395123434006
35,IMT,35,18.71464870720587
36,IMT,36,19.789767359107387
37,IMT,37,18.910799954832054
38,IMT,38,20.793070588288685
39,IMT,39,17.872255574046143
40,IMT,40,18.715678387083212
41,IMT,41,17.713772029211704
42,IMT,42,20.447560280421293
43,IMT,43,19.692813104045424
44,IMT,44,19.973526043265746
45,IMT,45,19.874244384990764
46,IMT,46,18.55033785048503
47,IMT,47,19.997636084472195
48,IMT,48,21.490686052060703
49,IMT,49,17.785962668509494
50,IMT,50,18.830118092291865
51,IMT,51,19.045825792190215
52,IMT,52,17.177644501746386
53,IMT,53,18.487236175657976
54,IMT,54,17.280510757352864
55,IMT,55,18.75531526889842
56,IMT,56,17.21409629416997
57,IMT,57,17.921219991487384
58,IMT,58,18.363152161882407
59,IMT,59,19.896133198892507
60,IMT,60,18.72241393958549
61,IMT,61,20.314263505864204
62,IMT,62,17.285982179358122
63,IMT,63,17.60867546439075
64,IMT,64,19.905389863958163
65,IMT,65,18.643635308574236
66,IMT,66,18.63353361992464
67,IMT,67,17.995291203446047
68,IMT,68,19.5694329480093
69,IMT,69,18.137537156490446
70,IMT,70,19.352894608318252
71,IMT,71,20.71777867570906
72,IMT,72,24.68248090158262
73,IMT,73,23.192197726272504
74,IMT,74,23.219977201451382
75,IMT,75,23.089231475526482
76,IMT,76,21.739017392168666
77,IMT,77,20.588121870589514
78,IMT,78,21.885089579361615
79,IMT,79,23.166642943766455
80,IMT,80,23.41316618748687
81,IMT,81,23.317924582211397
82,IMT,82,22.87850785253368
83,IMT,83,24.834601784495238
84,IMT,84,23.660582231729233
85,IMT,85,26.989122520643143
86,IMT,86,21.5829301121641
87,IMT,87,22.453203050220257
88,IMT,88,19.50299062913273
89,IMT,89,16.7240015889685
90,IMT,90,16.754954621400024
91,IMT,91,17.66361423660868
92,IMT,92,15.573521779624121
93,IMT,93,8.964486743889854
94,IMT,94,10.218824822043024
95,IMT,95,10.991672606437024
96,IMT,96,10.047666025827915
97,IMT,97,10.030349268482174
98,IMT,98,11.031112826923913
