,method,iteration,data
0,IMT,0,17.412768630023645
1,IMT,1,18.683019417639834
2,IMT,2,18.44100421628271
3,IMT,3,17.21008797882798
4,IMT,4,18.604496992345492
5,IMT,5,17.81228926208238
6,IMT,6,19.987143207719846
7,IMT,7,17.79879291297503
8,IMT,8,17.234794140872
9,IMT,9,19.83552161111589
10,IMT,10,19.367507571065275
11,IMT,11,18.868517184929654
12,IMT,12,19.923029917617022
13,IMT,13,18.2184528823366
14,IMT,14,19.722917953731617
15,IMT,15,18.59848648261561
16,IMT,16,20.36351832496028
17,IMT,17,20.379061716111917
18,IMT,18,19.4523124842866
19,IMT,19,18.52330847745272
20,IMT,20,19.840759217503567
21,IMT,21,18.095142293172366
22,IMT,22,17.670061806988816
23,IMT,23,20.578758547124043
24,IMT,24,19.00041966033662
25,IMT,25,19.488213639982213
26,IMT,26,20.825737818748216
27,IMT,27,19.87340621238278
28,IMT,28,19.405456627114155
29,IMT,29,19.125262274668042
30,IMT,30,19.314428057152334
31,IMT,31,18.220038728898306
32,IMT,32,18.26995146315865
33,IMT,33,17.977839352932104
34,IMT,34,20.627888287707485
35,IMT,35,17.00386871390696
36,IMT,36,19.280702947426853
37,IMT,37,17.50178179092912
38,IMT,38,19.113914871911756
39,IMT,39,18.28350390817731
40,IMT,40,16.81946173946801
41,IMT,41,17.838983339691204
42,IMT,42,16.002581220509825
43,IMT,43,20.012335250268674
44,IMT,44,19.478093508024724
45,IMT,45,18.890099832153275
46,IMT,46,17.79400039134681
47,IMT,47,23.090309940201372
48,IMT,48,26.934074271752728
49,IMT,49,21.433774950030667
50,IMT,50,24.74888341859892
51,IMT,51,23.638329543008933
52,IMT,52,21.558006947966106
53,IMT,53,23.90688567527115
54,IMT,54,13.946390251610541
55,IMT,55,17.784547280752502
56,IMT,56,14.454139049100345
57,IMT,57,13.730292144695976
58,IMT,58,14.47733592435884
59,IMT,59,16.984752974643076
60,IMT,60,14.728210815395968
61,IMT,61,15.989726117250404
62,IMT,62,13.28167591395812
63,IMT,63,16.043085562727363
64,IMT,64,15.711339333538001
65,IMT,65,13.749007961413147
66,IMT,66,13.886522805584011
67,IMT,67,14.780659994158757
68,IMT,68,13.599234747324553
69,IMT,69,14.602373722512251
