,method,iteration,data
0,IMT,0,17.412768630023645
1,IMT,1,18.683019417639834
2,IMT,2,18.44100421628271
3,IMT,3,17.21008797882798
4,IMT,4,18.604496992345492
5,IMT,5,17.81228926208238
6,IMT,6,19.987143207719846
7,IMT,7,17.79879291297503
8,IMT,8,17.234794140872
9,IMT,9,19.83552161111589
10,IMT,10,19.367507571065275
11,IMT,11,18.868517184929654
12,IMT,12,19.923029917617022
13,IMT,13,18.2184528823366
14,IMT,14,19.055601637821596
15,IMT,15,18.050848743228777
16,IMT,16,19.908202716081263
17,IMT,17,19.76090369554378
18,IMT,18,18.963455937555814
19,IMT,19,17.88001894138068
20,IMT,20,19.02637699554554
21,IMT,21,17.698157313860694
22,IMT,22,16.662097848738078
23,IMT,23,20.18325951776149
24,IMT,24,18.398783182267334
25,IMT,25,18.91119361557606
26,IMT,26,20.413190582586928
27,IMT,27,19.35303056622287
28,IMT,28,19.17063677400128
29,IMT,29,23.606376891619004
30,IMT,30,23.975700829945858
31,IMT,31,22.730830812213984
32,IMT,32,23.13531643679297
33,IMT,33,22.14783947692121
34,IMT,34,24.830765097675624
35,IMT,35,21.472628480479546
36,IMT,36,23.75759536484244
37,IMT,37,22.130579846564277
38,IMT,38,24.751235441761615
39,IMT,39,23.325561408894156
40,IMT,40,21.4389552979322
41,IMT,41,22.270919920971128
42,IMT,42,20.99658556545472
43,IMT,43,25.757172194505863
44,IMT,44,25.565375725687414
45,IMT,45,24.543018390117318
46,IMT,46,22.265381983570926
47,IMT,47,24.172251867666105
48,IMT,48,27.436332847152517
49,IMT,49,22.190590511840284
50,IMT,50,25.17773044832339
51,IMT,51,24.48252169712815
52,IMT,52,25.134300881726908
53,IMT,53,27.20340798544256
54,IMT,54,24.428686831377274
55,IMT,55,28.40479920777466
56,IMT,56,23.930709644314803
57,IMT,57,24.414120594107736
58,IMT,58,24.136795288213506
59,IMT,59,27.274901812065572
60,IMT,60,27.400582162633363
61,IMT,61,27.536159155539554
62,IMT,62,24.492912456389686
63,IMT,63,28.476687090194407
64,IMT,64,26.53299764589575
65,IMT,65,25.816235343665728
66,IMT,66,25.7867115256797
67,IMT,67,26.694094373423354
68,IMT,68,25.355162174052516
69,IMT,69,25.830150123021753
