,method,iteration,data
0,IMT,0,0.1904
1,IMT,1,0.1904
2,IMT,2,0.1904
3,IMT,3,0.1904
4,IMT,4,0.1904
5,IMT,5,0.1904
6,IMT,6,0.1904
7,IMT,7,0.1904
8,IMT,8,0.1904
9,IMT,9,0.1904
10,IMT,10,0.1903
11,IMT,11,0.1903
12,IMT,12,0.1903
13,IMT,13,0.1905
14,IMT,14,0.1905
15,IMT,15,0.1905
16,IMT,16,0.1905
17,IMT,17,0.1905
18,IMT,18,0.1904
19,IMT,19,0.1904
20,IMT,20,0.1904
21,IMT,21,0.1904
22,IMT,22,0.1904
23,IMT,23,0.1904
24,IMT,24,0.1904
25,IMT,25,0.1904
26,IMT,26,0.1904
27,IMT,27,0.1904
28,IMT,28,0.1904
29,IMT,29,0.1904
30,IMT,30,0.1904
31,IMT,31,0.1904
32,IMT,32,0.1904
33,IMT,33,0.1904
34,IMT,34,0.1904
35,IMT,35,0.1904
36,IMT,36,0.191
37,IMT,37,0.191
38,IMT,38,0.191
39,IMT,39,0.191
40,IMT,40,0.191
41,IMT,41,0.191
42,IMT,42,0.191
43,IMT,43,0.191
44,IMT,44,0.191
45,IMT,45,0.1917
46,IMT,46,0.1917
47,IMT,47,0.1916
48,IMT,48,0.1916
49,IMT,49,0.1916
50,IMT,0,0.2456
51,IMT,1,0.2457
52,IMT,2,0.2457
53,IMT,3,0.2461
54,IMT,4,0.2461
55,IMT,5,0.2463
56,IMT,6,0.2463
57,IMT,7,0.2466
58,IMT,8,0.2467
59,IMT,9,0.2467
60,IMT,10,0.2467
61,IMT,11,0.2467
62,IMT,12,0.2467
63,IMT,13,0.2467
64,IMT,14,0.2469
65,IMT,15,0.2471
66,IMT,16,0.2471
67,IMT,17,0.2471
68,IMT,18,0.2471
69,IMT,19,0.2471
70,IMT,20,0.2471
71,IMT,21,0.2477
72,IMT,22,0.2477
73,IMT,23,0.2478
74,IMT,24,0.2478
75,IMT,25,0.2478
76,IMT,26,0.2478
77,IMT,27,0.2478
78,IMT,28,0.2479
79,IMT,29,0.2481
80,IMT,30,0.248
81,IMT,31,0.2482
82,IMT,32,0.2482
83,IMT,33,0.2483
84,IMT,34,0.2483
85,IMT,35,0.2483
86,IMT,36,0.2483
87,IMT,37,0.2483
88,IMT,38,0.2483
89,IMT,39,0.2484
90,IMT,40,0.2484
91,IMT,41,0.249
92,IMT,42,0.249
93,IMT,43,0.249
94,IMT,44,0.2493
95,IMT,45,0.2494
96,IMT,46,0.2494
97,IMT,47,0.2497
98,IMT,48,0.2496
99,IMT,49,0.2496
100,ITAL,0,0.1904
101,ITAL,1,0.2146
102,ITAL,2,0.2252
103,ITAL,3,0.2334
104,ITAL,4,0.2469
105,ITAL,5,0.2525
106,ITAL,6,0.263
107,ITAL,7,0.2353
108,ITAL,8,0.2239
109,ITAL,9,0.2383
110,ITAL,10,0.2617
111,ITAL,11,0.2803
112,ITAL,12,0.2942
113,ITAL,13,0.3126
114,ITAL,14,0.3409
115,ITAL,15,0.3657
116,ITAL,16,0.3934
117,ITAL,17,0.4253
118,ITAL,18,0.4561
119,ITAL,19,0.4759
120,ITAL,20,0.4897
121,ITAL,21,0.507
122,ITAL,22,0.528
123,ITAL,23,0.5463
124,ITAL,24,0.5629
125,ITAL,25,0.5864
126,ITAL,26,0.6028
127,ITAL,27,0.6206
128,ITAL,28,0.6382
129,ITAL,29,0.6509
130,ITAL,30,0.6628
131,ITAL,31,0.6793
132,ITAL,32,0.6958
133,ITAL,33,0.7115
134,ITAL,34,0.7241
135,ITAL,35,0.7323
136,ITAL,36,0.7422
137,ITAL,37,0.7524
138,ITAL,38,0.7602
139,ITAL,39,0.7707
140,ITAL,40,0.78
141,ITAL,41,0.7793
142,ITAL,42,0.7905
143,ITAL,43,0.7986
144,ITAL,44,0.8033
145,ITAL,45,0.8071
146,ITAL,46,0.8176
147,ITAL,47,0.8224
148,ITAL,48,0.8274
149,ITAL,49,0.831
150,ITAL,0,0.2456
151,ITAL,1,0.2662
152,ITAL,2,0.2632
153,ITAL,3,0.2706
154,ITAL,4,0.2663
155,ITAL,5,0.2658
156,ITAL,6,0.2557
157,ITAL,7,0.2536
158,ITAL,8,0.2431
159,ITAL,9,0.2499
160,ITAL,10,0.2451
161,ITAL,11,0.2417
162,ITAL,12,0.2425
163,ITAL,13,0.2357
164,ITAL,14,0.2586
165,ITAL,15,0.2629
166,ITAL,16,0.2546
167,ITAL,17,0.2478
168,ITAL,18,0.2256
169,ITAL,19,0.2254
170,ITAL,20,0.2351
171,ITAL,21,0.2431
172,ITAL,22,0.2575
173,ITAL,23,0.2627
174,ITAL,24,0.3024
175,ITAL,25,0.3069
176,ITAL,26,0.3159
177,ITAL,27,0.3218
178,ITAL,28,0.2914
179,ITAL,29,0.2942
180,ITAL,30,0.3193
181,ITAL,31,0.3197
182,ITAL,32,0.3449
183,ITAL,33,0.3602
184,ITAL,34,0.3844
185,ITAL,35,0.4108
186,ITAL,36,0.3538
187,ITAL,37,0.3641
188,ITAL,38,0.3883
189,ITAL,39,0.3988
190,ITAL,40,0.4237
191,ITAL,41,0.447
192,ITAL,42,0.4725
193,ITAL,43,0.494
194,ITAL,44,0.505
195,ITAL,45,0.5335
196,ITAL,46,0.5389
