,method,iteration,data
0,IMT,0,10.956332222901255
1,IMT,1,10.95610327824223
2,IMT,2,10.956097506018038
3,IMT,3,10.956132485201387
4,IMT,4,10.95612732733404
5,IMT,5,10.956118386836923
6,IMT,6,10.956114798216419
7,IMT,7,10.956106165225282
8,IMT,8,10.956103251358986
9,IMT,9,10.956090473890168
10,IMT,10,10.956021291756045
11,IMT,11,10.955933406761686
12,IMT,12,10.95592305325325
13,IMT,13,10.955730760999446
14,IMT,14,10.955616101908356
15,IMT,15,10.955613524003065
16,IMT,16,10.955544801638794
17,IMT,17,10.955510714728128
18,IMT,18,10.955244818068307
19,IMT,19,10.955206321166962
20,IMT,20,10.955151608861966
21,IMT,21,10.954989415526178
22,IMT,22,10.954979440348964
23,IMT,23,10.95495819144487
24,IMT,24,10.954940371354512
25,IMT,25,10.954938426240377
26,IMT,26,10.954930768229143
27,IMT,27,10.954916568998952
28,IMT,28,10.954890641422095
29,IMT,29,10.954884011009916
30,IMT,30,10.954861725046914
31,IMT,31,10.954846843926402
32,IMT,32,10.954840031936108
33,IMT,33,10.954821058204685
34,IMT,34,10.954813021993893
35,IMT,35,10.954380224337338
36,IMT,36,10.95391849862674
37,IMT,37,10.9538849832699
38,IMT,38,10.953878525234146
39,IMT,39,10.95385817824141
40,IMT,40,10.953823585519999
41,IMT,41,10.953820266247003
42,IMT,42,10.953810881580871
43,IMT,43,10.953810263216404
44,IMT,44,10.953803464137517
45,IMT,45,10.953268356924982
46,IMT,46,10.953262090191044
47,IMT,47,10.953201679144687
48,IMT,48,10.953194141945533
49,IMT,49,10.953190012518615
50,IMT,50,10.953187795777257
51,IMT,0,11.63632982064283
52,IMT,1,11.636176478725503
53,IMT,2,11.636151989015486
54,IMT,3,11.63593548977806
55,IMT,4,11.635946408271643
56,IMT,5,11.635898534645534
57,IMT,6,11.635803437246262
58,IMT,7,11.635476293892324
59,IMT,8,11.635304093546095
60,IMT,9,11.635129744288866
61,IMT,10,11.635072346278378
62,IMT,11,11.634944933403233
63,IMT,12,11.634893886107724
64,IMT,13,11.634815875105483
65,IMT,14,11.634692155408242
66,IMT,15,11.634390553945329
67,IMT,16,11.63433521399789
68,IMT,17,11.634278835772209
