,method,iteration,data
0,IMT,0,10.956332222901255
1,IMT,1,10.95610327824223
2,IMT,2,10.956097506018038
3,IMT,3,10.956132485201387
4,IMT,4,10.95612732733404
5,IMT,5,10.956118386836923
6,IMT,6,10.956114798216419
7,IMT,7,10.956106165225282
8,IMT,8,10.956103251358986
9,IMT,9,10.956090473890168
10,IMT,10,10.956021291756045
11,IMT,11,10.955933406761686
12,IMT,12,10.95592305325325
13,IMT,13,10.955730760999446
14,IMT,14,10.955616101908356
15,IMT,15,10.955613524003065
16,IMT,16,10.955544801638794
17,IMT,17,10.955510714728128
18,IMT,18,10.955244818068307
19,IMT,19,10.955206321166962
20,IMT,20,10.955151608861966
21,IMT,21,10.955144826030324
22,IMT,22,10.95513485906406
23,IMT,23,10.95511360790876
24,IMT,24,10.955095801922726
25,IMT,25,10.955093857315909
26,IMT,26,10.95508620363897
27,IMT,27,10.955072016931853
28,IMT,28,10.95504609713345
29,IMT,29,10.95503947249164
30,IMT,30,10.955017198840338
31,IMT,31,10.954975678497867
32,IMT,32,10.954968860180658
33,IMT,33,10.954949866973921
34,IMT,34,10.954941820048266
35,IMT,35,10.954508974595177
36,IMT,36,10.954047227279762
37,IMT,37,10.954013700662916
38,IMT,38,10.954007241688098
39,IMT,39,10.953986892726402
40,IMT,40,10.953952286437922
41,IMT,41,10.953948963219643
42,IMT,42,10.953939569368199
43,IMT,43,10.953938950657813
44,IMT,44,10.953770360528038
45,IMT,45,10.953235279396525
46,IMT,46,10.953229057097479
47,IMT,47,10.953168855742849
48,IMT,48,10.95316136282509
49,IMT,49,10.953157260173551
50,IMT,50,10.953155058248235
51,IMT,0,11.63632982064283
52,IMT,1,11.636176478725503
53,IMT,2,11.636151989015486
54,IMT,3,11.63593548977806
55,IMT,4,11.635946408271643
56,IMT,5,11.635898534645534
57,IMT,6,11.635427483270126
58,IMT,7,11.635100203415133
59,IMT,8,11.634928524872285
60,IMT,9,11.63475352221211
61,IMT,10,11.634695892929821
62,IMT,11,11.63456857265968
63,IMT,12,11.634517389086652
64,IMT,13,11.63443904902384
65,IMT,14,11.634279613703335
66,IMT,15,11.633976266938394
67,IMT,16,11.633920483230487
68,IMT,17,11.633863485200969
