,method,iteration,data
0,IMT,0,10.956332222901255
1,IMT,1,10.95610327824223
2,IMT,2,10.956097506018038
3,IMT,3,10.956132485201387
4,IMT,4,10.95612732733404
5,IMT,5,10.956118386836923
6,IMT,6,10.956114798216419
7,IMT,7,10.956106165225282
8,IMT,8,10.956103251358986
9,IMT,9,10.956090473890168
10,IMT,10,10.956067286325647
11,IMT,11,10.955979280123685
12,IMT,12,10.955968911725707
13,IMT,13,10.955953681811664
14,IMT,14,10.955951207211106
15,IMT,15,10.955948595787884
16,IMT,16,10.955935367348738
17,IMT,17,10.955900763866776
18,IMT,18,10.955632436283015
19,IMT,19,10.955593516813641
20,IMT,20,10.955590628692834
21,IMT,21,10.955583745683226
22,IMT,22,10.955573663618226
23,IMT,23,10.95557283798112
24,IMT,24,10.9555547644525
25,IMT,25,10.955552787998469
26,IMT,26,10.955545037510758
27,IMT,27,10.95553063115416
28,IMT,28,10.955504514726067
29,IMT,29,10.955497778717932
30,IMT,30,10.955475291420832
31,IMT,31,10.955460226623714
32,IMT,32,10.955453320445665
33,IMT,33,10.955434153275046
34,IMT,34,10.95542600275985
35,IMT,35,10.955002217353819
36,IMT,36,10.954540388990385
37,IMT,37,10.954506428962345
38,IMT,38,10.954499973199132
39,IMT,39,10.954479370692113
40,IMT,40,10.954444402585338
41,IMT,41,10.954441027608793
42,IMT,42,10.954431493396976
43,IMT,43,10.954430863761518
44,IMT,44,10.954423949251042
45,IMT,45,10.953929789420423
46,IMT,46,10.953923419191142
47,IMT,47,10.953911046188562
48,IMT,48,10.953903390613029
49,IMT,49,10.953899182786808
50,IMT,50,10.953896923519038
51,IMT,0,11.63632982064283
52,IMT,1,11.636176478725503
53,IMT,2,11.636151989015486
54,IMT,3,11.63593548977806
55,IMT,4,11.635946408271643
56,IMT,5,11.635898534645534
57,IMT,6,11.635803437246262
58,IMT,7,11.635476293892324
59,IMT,8,11.635304093546095
60,IMT,9,11.635129744288866
61,IMT,10,11.635072346278378
62,IMT,11,11.634944933403233
63,IMT,12,11.634893886107724
64,IMT,13,11.634815875105483
65,IMT,14,11.634692155408242
66,IMT,15,11.634390553945329
67,IMT,16,11.63433521399789
68,IMT,17,11.634278835772209
