,method,iteration,data
0,IMT,0,3.0966124133434163
1,IMT,1,3.096083112978941
2,IMT,2,3.096084471952658
3,IMT,3,3.096292734535266
4,IMT,4,3.0962940863383217
5,IMT,5,3.096295122574619
6,IMT,6,3.0962941858928184
7,IMT,7,3.096303894983602
8,IMT,8,3.096305552134138
9,IMT,9,3.0963028923379206
10,IMT,10,3.096300447795236
11,IMT,11,3.0962483199258255
12,IMT,12,3.09624761714051
13,IMT,13,3.096243685592815
14,IMT,14,3.096244388922016
15,IMT,15,3.0962457916772874
16,IMT,16,3.096241763529608
17,IMT,17,3.096229376260191
18,IMT,18,3.0960820113044805
19,IMT,19,3.0960609222773683
20,IMT,20,3.0960617540785296
21,IMT,21,3.0960614705280562
22,IMT,22,3.096061604454272
23,IMT,23,3.0960629202436065
24,IMT,24,3.0960590779826362
25,IMT,25,3.0960612977850266
26,IMT,26,3.096063203278843
27,IMT,27,3.096059707257797
28,IMT,28,3.095796247379978
29,IMT,29,3.095795710542133
30,IMT,30,3.0957942141290435
31,IMT,31,3.095792613905196
32,IMT,32,3.0957938741789537
33,IMT,33,3.095787273234934
34,IMT,34,3.095787260001738
35,IMT,35,3.0948456863650624
36,IMT,36,3.0943628536613264
37,IMT,37,3.094351557157285
38,IMT,38,3.0943658332929447
39,IMT,39,3.0943598914771258
40,IMT,40,3.09436381702522
41,IMT,41,3.094365697145491
42,IMT,42,3.0943650138869097
43,IMT,43,3.0943667246453472
44,IMT,44,3.0943666107958734
45,IMT,45,3.093433926417895
46,IMT,46,3.093437130131493
47,IMT,47,3.0934346559263535
48,IMT,48,3.0934343358260477
49,IMT,49,3.0934354271373143
50,IMT,0,4.098910106438224
51,IMT,1,4.0986887868129465
52,IMT,2,4.098627993763644
53,IMT,3,4.098161524270455
54,IMT,4,4.0980976107266045
55,IMT,5,4.098022424675888
56,IMT,6,4.097890994866094
57,IMT,7,4.097239860896269
58,IMT,8,4.096983316540572
59,IMT,9,4.096785741831078
60,IMT,10,4.096677106866775
61,IMT,11,4.096355115468784
62,IMT,12,4.096208580206093
63,IMT,13,4.0960985562436365
64,IMT,14,4.095931067309226
65,IMT,15,4.095593944229012
66,IMT,16,4.095492844169048
67,IMT,17,4.095403336555084
68,IMT,18,4.0952895433984535
69,IMT,19,4.095179398626668
70,IMT,20,4.095122074656685
71,IMT,21,4.094429496205463
72,IMT,22,4.094332654256109
73,IMT,23,4.094184469865482
74,IMT,24,4.09395763236249
75,IMT,25,4.0939065575318025
76,IMT,26,4.093678116739311
77,IMT,27,4.093457495794271
78,IMT,28,4.09327688207083
79,IMT,29,4.093151625374536
80,IMT,30,4.092932277460522
81,IMT,31,4.09269965542704
82,IMT,32,4.09256050143628
83,IMT,33,4.0923669636826006
84,IMT,34,4.092309207888065
85,IMT,35,4.092091129097175
86,IMT,36,4.091917017930447
87,IMT,37,4.091511282814139
88,IMT,38,4.091368209030112
89,IMT,39,4.0913230590661
90,IMT,40,4.091145740231864
91,IMT,41,4.090410312886042
92,IMT,42,4.090333531474802
93,IMT,43,4.090258864234004
94,IMT,44,4.089861966859016
95,IMT,45,4.089749432157715
96,IMT,46,4.089538051070625
97,IMT,47,4.088629869147061
98,IMT,48,4.08855877884876
99,IMT,49,4.088452109150844
100,ITAL,0,3.0966124133434163
101,ITAL,1,3.012053662754382
102,ITAL,2,2.878367556699146
103,ITAL,3,2.7597474110537696
104,ITAL,4,2.6429032513727004
105,ITAL,5,2.526188020193267
106,ITAL,6,2.419192747138785
107,ITAL,7,2.3233295064509862
108,ITAL,8,2.2242995442251203
109,ITAL,9,2.1259377159323356
110,ITAL,10,2.036707636282452
111,ITAL,11,1.9434057841232297
112,ITAL,12,1.891542094505628
113,ITAL,13,1.8266503816873296
114,ITAL,14,1.769876157265521
115,ITAL,15,1.6965214475586374
116,ITAL,16,1.6248449642244405
117,ITAL,17,1.5613759728175534
118,ITAL,18,1.4987664326332724
119,ITAL,19,1.4527761752622053
120,ITAL,20,1.3901048436683334
121,ITAL,21,1.3465852164273142
122,ITAL,22,1.3036441487793604
123,ITAL,23,1.2684484714512976
124,ITAL,24,1.2208354395082865
125,ITAL,25,1.1686028195949567
126,ITAL,26,1.1409110284066735
127,ITAL,27,1.1139795826950256
128,ITAL,28,1.0831747112743355
129,ITAL,29,1.0514249480910776
130,ITAL,30,1.0267054313039192
131,ITAL,31,0.9912858526066862
132,ITAL,32,0.9559969661296329
133,ITAL,33,0.926212787534937
134,ITAL,34,0.8996328154560642
135,ITAL,35,0.8785156679237563
136,ITAL,36,0.8567232787350746
137,ITAL,37,0.8361682608760711
138,ITAL,38,0.8206811792413864
139,ITAL,39,0.8005292206033091
140,ITAL,40,0.7786624408098329
141,ITAL,41,0.7596780020983148
142,ITAL,42,0.7374763300133271
143,ITAL,43,0.7238474987178066
144,ITAL,44,0.7102118634641315
145,ITAL,45,0.7258069422952526
146,ITAL,46,0.6995304793568956
147,ITAL,47,0.682748327493327
148,ITAL,48,0.669133979934097
149,ITAL,49,0.6571609263764346
150,ITAL,0,4.098910106438224
151,ITAL,1,4.0106717762333135
152,ITAL,2,3.9236248351803
153,ITAL,3,3.826202106085787
154,ITAL,4,3.735288432270926
155,ITAL,5,3.627969442258106
156,ITAL,6,3.543204847969883
157,ITAL,7,3.4652762454481394
158,ITAL,8,3.3948986282826823
159,ITAL,9,3.309409941934067
160,ITAL,10,3.2283975964796823
161,ITAL,11,3.1475595096544255
162,ITAL,12,3.049137814532288
163,ITAL,13,2.9861912947936475
164,ITAL,14,2.91472346287523
165,ITAL,15,2.829282970509057
166,ITAL,16,2.779472766850987
167,ITAL,17,2.7056157523117608
168,ITAL,18,2.6253951918600267
169,ITAL,19,2.555728470961584
170,ITAL,20,2.49029415502115
171,ITAL,21,2.432988803021118
172,ITAL,22,2.3823671477287154
173,ITAL,23,2.3295790323359724
174,ITAL,24,2.2806915728510115
175,ITAL,25,2.217445965546479
176,ITAL,26,2.1559361425978283
177,ITAL,27,2.108205762501096
178,ITAL,28,2.0465237986425384
179,ITAL,29,2.0010209136029022
180,ITAL,30,1.9466613760285043
181,ITAL,31,1.8799661863042962
182,ITAL,32,1.8300077644289057
183,ITAL,33,1.7765227402602362
184,ITAL,34,1.7271431344869224
185,ITAL,35,1.6929763786560987
186,ITAL,36,1.6408621554392442
187,ITAL,37,1.6119984787350081
188,ITAL,38,1.56799610503292
189,ITAL,39,1.530226669463373
190,ITAL,40,1.4846097789510622
191,ITAL,41,1.4462584002778172
192,ITAL,42,1.417653227727517
193,ITAL,43,1.3905123003967168
194,ITAL,44,1.3528737728595712
195,ITAL,45,1.3087218627893729
196,ITAL,46,1.2738474812416698
197,ITAL,47,1.244708494574985
198,ITAL,48,1.217125457835543
199,ITAL,49,1.1871696366270819
200,Batch,0,3.096612424389961
201,Batch,1,3.0947130542897723
202,Batch,2,3.0929791735691006
203,Batch,3,3.091427280099178
204,Batch,4,3.0895282967920297
205,Batch,5,3.0874252058605633
206,Batch,6,3.0856258925616142
207,Batch,7,3.0839477907142365
208,Batch,8,3.082256105784787
209,Batch,9,3.0804515674895634
210,Batch,10,3.078553317730737
211,Batch,11,3.0766540314721467
212,Batch,12,3.074743630320712
213,Batch,13,3.073071802802363
214,Batch,14,3.0713374008182837
215,Batch,15,3.069245669961821
216,Batch,16,3.0675453393588903
217,Batch,17,3.065608529584946
218,Batch,18,3.063860641845636
219,Batch,19,3.0620278890288217
220,Batch,20,3.060468430279641
221,Batch,21,3.0584573951294782
222,Batch,22,3.0566356845129268
223,Batch,23,3.0544642862626774
224,Batch,24,3.052761523204101
225,Batch,25,3.050703285754897
226,Batch,26,3.048961449890809
227,Batch,27,3.0471470270763437
228,Batch,28,3.045237494428905
229,Batch,29,3.042887765202527
230,Batch,30,3.0411119987853206
231,Batch,31,3.039221120840715
232,Batch,32,3.037537197378459
233,Batch,33,3.0355597057988684
234,Batch,34,3.033803087658847
235,Batch,35,3.031937533833851
236,Batch,36,3.0299503394429443
237,Batch,37,3.0280015296523803
238,Batch,38,3.0262001565625654
239,Batch,39,3.0243481423692677
240,Batch,40,3.022288296641595
241,Batch,41,3.0204708534440057
242,Batch,42,3.0193502932738565
243,Batch,43,3.0179429110300773
244,Batch,44,3.01623390961687
245,Batch,45,3.014589195167298
246,Batch,46,3.012421938903974
247,Batch,47,3.010637945779901
248,Batch,48,3.009307983048629
249,Batch,49,3.0075868647772235
250,Batch,0,4.098910119146419
251,Batch,1,4.097646882158854
252,Batch,2,4.095758847944908
253,Batch,3,4.093941233851311
254,Batch,4,4.092253987564173
255,Batch,5,4.090336253543277
256,Batch,6,4.088753880348435
257,Batch,7,4.086938307004246
258,Batch,8,4.0849430474418105
259,Batch,9,4.083016066107947
260,Batch,10,4.081278798890442
261,Batch,11,4.079625167728268
262,Batch,12,4.077716149817718
263,Batch,13,4.075531062101362
264,Batch,14,4.073966601210557
265,Batch,15,4.072303010539583
266,Batch,16,4.070374190225222
267,Batch,17,4.068646498261184
268,Batch,18,4.066350711695112
269,Batch,19,4.064499718992719
270,Batch,20,4.062597548103391
271,Batch,21,4.061174997690403
272,Batch,22,4.05949051570293
273,Batch,23,4.057431198563471
274,Batch,24,4.05580834686843
275,Batch,25,4.054249704343372
276,Batch,26,4.052037226411767
277,Batch,27,4.050240553176401
278,Batch,28,4.048438011864004
279,Batch,29,4.046861341142892
280,Batch,30,4.045373057403492
